Hash: 1763, Sign: 1131760, AesGcm: 12533
Hash: 2026, Sign: 1116336, AesGcm: 12863
Hash: 1801, Sign: 1188504, AesGcm: 11844
Hash: 2017, Sign: 1135596, AesGcm: 12771
Hash: 2132, Sign: 1118971, AesGcm: 12146
Hash: 1840, Sign: 1162685, AesGcm: 12965
Hash: 2037, Sign: 1088722, AesGcm: 6282642
Hash: 2377, Sign: 1934502, AesGcm: 12206
Hash: 1970, Sign: 1075839, AesGcm: 23994
Hash: 1916, Sign: 1099429, AesGcm: 12004
Hash: 2099, Sign: 1183421, AesGcm: 12706
Hash: 1974, Sign: 1153641, AesGcm: 12208
Hash: 2035, Sign: 1183300, AesGcm: 24607
Hash: 1790, Sign: 1084036, AesGcm: 11566
Hash: 1831, Sign: 1087085, AesGcm: 11787
Hash: 1973, Sign: 1131417, AesGcm: 12801
Hash: 4099, Sign: 1109458, AesGcm: 13001
Hash: 1881, Sign: 1094404, AesGcm: 13058
Hash: 1840, Sign: 1121241, AesGcm: 12195
Hash: 2044, Sign: 1144704, AesGcm: 12527
Hash: 2479, Sign: 1141025, AesGcm: 12899
Hash: 1837, Sign: 1098791, AesGcm: 15862
Hash: 1669, Sign: 1087224, AesGcm: 13813
Hash: 1680, Sign: 1154236, AesGcm: 12590
Hash: 16484, Sign: 4141252, AesGcm: 13251
Hash: 1929, Sign: 1113972, AesGcm: 11705
Hash: 1923, Sign: 1108012, AesGcm: 13134
Hash: 1865, Sign: 1086298, AesGcm: 12864
Hash: 1969, Sign: 1131712, AesGcm: 13526
Hash: 1974, Sign: 1196243, AesGcm: 13190
Hash: 1718, Sign: 1087843, AesGcm: 12276
Hash: 1759, Sign: 1107338, AesGcm: 13376
Hash: 1915, Sign: 1102122, AesGcm: 12706
Hash: 1893, Sign: 1127464, AesGcm: 12412
Hash: 2028, Sign: 1125031, AesGcm: 13013
Hash: 1763, Sign: 1126963, AesGcm: 11676
Hash: 1689, Sign: 1136419, AesGcm: 11715
Hash: 1916, Sign: 1112509, AesGcm: 11901
Hash: 2637, Sign: 1664365, AesGcm: 3223018
Hash: 1750, Sign: 1157372, AesGcm: 12797
Hash: 2727, Sign: 4329991, AesGcm: 28564
Hash: 2626, Sign: 1098779, AesGcm: 12020
Hash: 2599, Sign: 1074066, AesGcm: 11437
Hash: 2134, Sign: 5832676, AesGcm: 11842
Hash: 1918, Sign: 1060348, AesGcm: 11091
Hash: 1733, Sign: 1080735, AesGcm: 10531
Hash: 2680, Sign: 5181466, AesGcm: 11323
