chunk_compression, gcm_encryption, ecdsa_signature, lepton_compression, total_creation, dht_store, length normal ,length compressed, final_length
103.623151779, 15.7549381256, 10.3268623352, 385.138988495, 131.461143494, 357.17010498, 365399, 288411, 341703,
124.860048294, 18.6069011688, 10.3549957275, 377.557039261, 156.099081039, 311.012983322, 361354, 285176, 337843,
98.9561080933, 13.2021903992, 9.47523117065, 329.01096344, 123.425006866, 307.88397789, 308317, 247292, 284689,
29.2680263519, 6.92796707153, 11.6510391235, 291.531085968, 49.8609542847, 224.987983704, 93282, 48366, 64743,
24.5749950409, 5.71012496948, 11.3480091095, 242.627859116, 43.0200099945, 213.06014061, 79978, 38326, 51061,
18.4979438782, 4.59289550781, 11.0340118408, 233.546972275, 35.5179309845, 170.068025589, 66476, 27819, 37606,
21.7261314392, 5.32197952271, 11.1479759216, 253.122091293, 39.5941734314, 238.483190536, 74310, 33831, 45367,
6.25395774841, 2.33197212219, 10.2059841156, 169.352054596, 20.103931427, 182.20281601, 40764, 8884, 11930,
11.9099617004, 3.88097763062, 10.8458995819, 208.37521553, 28.0101299286, 368.671894073, 57614, 22792, 29550,
106.610059738, 14.4419670105, 9.86099243164, 347.161054611, 132.917165756, 309.502124786, 334946, 265155, 311371,
79.4839859009, 14.181137085, 9.83810424805, 332.390069962, 105.27586937, 345.437049866, 328440, 260732, 305108,
104.98213768, 14.4188404083, 9.87195968628, 338.684082031, 131.3560009, 297.909021378, 334672, 264112, 311039,
84.3458175659, 15.6087875366, 10.3080272675, 382.211208344, 112.148046494, 314.768075943, 361248, 285558, 337751,
91.8071269989, 15.4089927673, 10.3387832642, 334.000110626, 119.650840759, 309.453964233, 356449, 282612, 333045,
81.2740325928, 13.7288570404, 9.68599319458, 318.192958832, 106.497049332, 383.067131042, 319885, 255146, 296343,
30.9629440308, 7.63702392578, 12.2179985046, 304.445028305, 52.9429912567, 204.205036163, 100633, 56405, 73648,
31.2819480896, 7.69901275635, 11.9240283966, 348.325967789, 52.3519515991, 253.530025482, 99740, 55504, 72709,
27.4000167847, 6.36410713196, 11.5559101105, 299.203157425, 46.7338562012, 195.917844772, 87043, 43815, 57827,
19.2019939423, 4.73999977112, 10.9610557556, 238.752126694, 36.2730026245, 201.715946198, 68445, 29444, 39633,
